n,k,known
0,0.0,0.0
10000,9761.5,292.5
20000,19024.0,552.5
30000,27906.5,793.0
40000,36441.0,991.5
50000,44570.0,1158.5
60000,52428.5,1402.0
70000,60195.5,1549.0
80000,67588.5,1681.0
90000,74783.5,1811.0
100000,81803.5,1954.5
110000,88683.0,2105.5
120000,95203.0,2194.5
130000,101806.0,2325.0
140000,107956.0,2445.5
150000,114347.0,2533.0
160000,120244.0,2616.5
170000,126197.0,2680.0
180000,132262.5,2801.0
190000,137689.0,2951.5
200000,143462.5,3010.0
210000,148943.5,3084.0
220000,154362.5,3124.0
230000,159617.5,3216.5
240000,164995.0,3310.0
250000,170155.5,3332.0
260000,175358.0,3427.5
270000,180248.0,3515.5
280000,185112.5,3545.5
290000,189909.0,3629.0
300000,194711.5,3731.5
310000,199610.5,3812.0
320000,204426.5,3843.0
330000,208728.0,3918.0
340000,213299.0,3948.0
350000,217998.5,4010.0
360000,222351.0,4072.5
370000,226492.5,4115.0
380000,231286.5,4213.0
390000,235006.0,4223.0
400000,239675.0,4305.0
410000,243704.5,4337.5
420000,247770.0,4336.0
430000,252369.0,4448.5
440000,255944.0,4473.0
450000,260053.0,4531.0
460000,263998.5,4551.5
470000,268028.0,4671.5
480000,271551.0,4658.5
490000,275841.0,4700.0
500000,279369.0,4773.5
510000,283254.5,4781.5
520000,287054.0,4823.0
530000,290975.0,4874.0
540000,294593.0,4892.0
550000,297989.0,4989.0
560000,302105.0,4981.0
570000,305307.5,5037.5
580000,308827.5,5066.0
590000,312768.0,5128.5
600000,315987.0,5199.0
610000,319318.0,5221.5
620000,322583.5,5239.0
630000,326153.5,5245.0
640000,329916.0,5353.5
650000,332749.0,5335.0
660000,336292.0,5364.0
670000,339548.5,5388.0
680000,343036.5,5437.0
690000,346212.0,5471.5
700000,349538.5,5507.5
710000,352807.5,5550.5
720000,355914.5,5604.5
730000,358835.5,5642.0
740000,362422.5,5668.0
750000,365382.0,5682.0
760000,368339.0,5708.0
770000,371772.5,5748.5
780000,374799.5,5752.0
790000,377501.5,5804.5
800000,380597.5,5823.0
810000,383852.0,5830.5
820000,386881.5,5878.0
830000,389753.0,5898.0
840000,392717.5,5926.5
850000,395444.5,5958.5
860000,398681.5,5975.5
870000,401386.0,6020.5
880000,404396.0,6044.0
890000,407176.0,6063.0
900000,410069.5,6079.0
910000,412942.0,6111.0
920000,415702.0,6128.0
